Date,Children apprehended and placed in CBP custody,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,Total System Load,Net Daily Intake,Care Load Growth Rate,CBP Efficiency Ratio,Discharge Capacity Ratio,Backlog Pressure Index,Net Daily Intake (7-day avg),System Load (7-day std),Discharge Capacity Ratio (14-day avg),Month,Week
2023-01-12,33.0,53.0,34.0,6566.0,436.0,6619.0,-402.0,0.0,64.15094339622641,6.640268047517514,-402.0,-402.0,0.0,6.640268047517514,2023-01,2023-01-09/2023-01-15
2023-01-13,0.0,53.0,0.0,6566.0,0.0,6619.0,0.0,0.0,0.0,0.0,-402.0,-201.0,0.0,3.320134023758757,2023-01,2023-01-09/2023-01-15
2023-01-14,0.0,53.0,0.0,6566.0,0.0,6619.0,0.0,0.0,0.0,0.0,-402.0,-134.0,0.0,2.213422682505838,2023-01,2023-01-09/2023-01-15
2023-01-15,0.0,53.0,0.0,6566.0,0.0,6619.0,0.0,0.0,0.0,0.0,-402.0,-100.5,0.0,1.6600670118793786,2023-01,2023-01-09/2023-01-15
2023-01-16,0.0,53.0,0.0,6566.0,0.0,6619.0,0.0,0.0,0.0,0.0,-402.0,-80.4,0.0,1.328053609503503,2023-01,2023-01-16/2023-01-22
2023-01-17,0.0,53.0,0.0,6566.0,0.0,6619.0,0.0,0.0,0.0,0.0,-402.0,-67.0,0.0,1.106711341252919,2023-01,2023-01-16/2023-01-22
2023-01-18,0.0,53.0,0.0,6566.0,0.0,6619.0,0.0,0.0,0.0,0.0,-402.0,-57.42857142857143,0.0,0.9486097210739306,2023-01,2023-01-16/2023-01-22
2023-01-19,0.0,53.0,0.0,6566.0,0.0,6619.0,0.0,0.0,0.0,0.0,-402.0,0.0,0.0,0.8300335059396893,2023-01,2023-01-16/2023-01-22
2023-01-20,0.0,53.0,0.0,6566.0,0.0,6619.0,0.0,0.0,0.0,0.0,-402.0,0.0,0.0,0.7378075608352793,2023-01,2023-01-16/2023-01-22
2023-01-21,0.0,53.0,0.0,6566.0,0.0,6619.0,0.0,0.0,0.0,0.0,-402.0,0.0,0.0,0.6640268047517515,2023-01,2023-01-16/2023-01-22
2023-01-22,32.0,49.0,39.0,7122.0,227.0,7171.0,-188.0,8.467864757843437,79.59183673469387,3.1873069362538615,-590.0,-26.857142857142858,208.63638910109339,0.8934159076155797,2023-01,2023-01-16/2023-01-22
2023-01-23,32.0,50.0,39.0,7280.0,181.0,7330.0,-142.0,2.218477955630441,78.0,2.4862637362637363,-732.0,-47.142857142857146,311.54018314542617,1.0261532266695925,2023-01,2023-01-23/2023-01-29
2023-01-24,47.0,42.0,47.0,7433.0,175.0,7475.0,-128.0,2.1016483516483517,111.90476190476191,2.3543656666218213,-860.0,-65.42857142857143,387.6229758780708,1.1283234143582257,2023-01,2023-01-23/2023-01-29
2023-01-25,20.0,22.0,41.0,7538.0,180.0,7560.0,-139.0,1.412619399973093,186.36363636363635,2.387901300079597,-999.0,-85.28571428571429,426.3771525193116,1.2182932633383234,2023-01,2023-01-23/2023-01-29
2023-01-26,0.0,22.0,0.0,7538.0,0.0,7560.0,0.0,0.0,0.0,0.0,-999.0,-85.28571428571429,413.73617082341156,0.7439884028013584,2023-01,2023-01-23/2023-01-29
2023-01-27,0.0,22.0,0.0,7538.0,0.0,7560.0,0.0,0.0,0.0,0.0,-999.0,-85.28571428571429,344.0813857214601,0.7439884028013584,2023-01,2023-01-23/2023-01-29
2023-01-28,0.0,22.0,0.0,7538.0,0.0,7560.0,0.0,0.0,0.0,0.0,-999.0,-85.28571428571429,153.10329535192642,0.7439884028013584,2023-01,2023-01-23/2023-01-29
2023-01-29,23.0,45.0,11.0,7472.0,303.0,7517.0,-292.0,-0.8755638100291854,24.444444444444443,4.055139186295503,-1291.0,-100.14285714285714,85.30812499683927,1.0336412018224657,2023-01,2023-01-23/2023-01-29
2023-01-30,34.0,54.0,29.0,7743.0,196.0,7797.0,-167.0,3.6268736616702357,53.70370370370371,2.5313186103577427,-1458.0,-103.71428571428571,102.91235290747423,1.2144496739908759,2023-01,2023-01-30/2023-02-05
2023-01-31,26.0,36.0,36.0,7803.0,158.0,7839.0,-122.0,0.7748934521503293,100.0,2.0248622324746894,-1580.0,-102.85714285714286,131.5913588131298,1.3590826905962108,2023-01,2023-01-30/2023-02-05
2023-02-01,25.0,32.0,27.0,7903.0,231.0,7935.0,-204.0,1.2815583749839805,84.375,2.9229406554472983,-1784.0,-112.14285714285714,170.1738606753195,1.5678641659853036,2023-02,2023-01-30/2023-02-05
2023-02-02,15.0,13.0,23.0,7879.0,298.0,7892.0,-275.0,-0.30368214602049853,176.9230769230769,3.782205863688285,-2059.0,-151.42857142857142,176.9150993582871,1.8380217276773239,2023-02,2023-01-30/2023-02-05
2023-02-03,0.0,13.0,0.0,7879.0,0.0,7892.0,0.0,0.0,0.0,0.0,-2059.0,-151.42857142857142,168.49332330985783,1.8380217276773239,2023-02,2023-01-30/2023-02-05
2023-02-04,0.0,13.0,0.0,7879.0,0.0,7892.0,0.0,0.0,0.0,0.0,-2059.0,-151.42857142857142,142.2402394341562,1.8380217276773239,2023-02,2023-01-30/2023-02-05
2023-02-05,16.0,18.0,15.0,7586.0,342.0,7604.0,-327.0,-3.7187460337606297,83.33333333333334,4.508304771948326,-2386.0,-156.42857142857142,111.47709566158984,1.932378715941214,2023-02,2023-01-30/2023-02-05
2023-02-06,11.0,22.0,12.0,7720.0,196.0,7742.0,-184.0,1.7664118112312155,54.54545454545454,2.5388601036269427,-2570.0,-158.85714285714286,116.49749639656228,1.9361355993243003,2023-02,2023-02-06/2023-02-12
2023-02-07,16.0,20.0,20.0,7855.0,200.0,7875.0,-180.0,1.7487046632124352,100.0,2.546148949713558,-2750.0,-167.14285714285714,117.85079347976365,1.9498344052594245,2023-02,2023-02-06/2023-02-12
2023-02-08,93.0,196.0,169.0,7915.0,317.0,8111.0,-148.0,0.7638446849140674,86.22448979591837,4.005053695514845,-2898.0,-159.14285714285714,155.85111943316878,2.0653452906476564,2023-02,2023-02-06/2023-02-12
2023-02-09,124.0,234.0,161.0,7908.0,353.0,8142.0,-192.0,-0.08843967150979153,68.80341880341881,4.463834092058675,-3090.0,-147.28571428571428,189.80955367596002,2.384190582937562,2023-02,2023-02-06/2023-02-12
2023-02-10,0.0,234.0,0.0,7908.0,0.0,8142.0,0.0,0.0,0.0,0.0,-3090.0,-147.28571428571428,211.6354682669519,2.384190582937562,2023-02,2023-02-06/2023-02-12
2023-02-11,0.0,234.0,0.0,7908.0,0.0,8142.0,0.0,0.0,0.0,0.0,-3090.0,-147.28571428571428,224.88949667400303,2.384190582937562,2023-02,2023-02-06/2023-02-12
2023-02-12,92.0,203.0,173.0,7434.0,317.0,7637.0,-144.0,-5.993930197268589,85.22167487684729,4.264191552327146,-3234.0,-121.14285714285714,216.22937556480053,2.3991228947969647,2023-02,2023-02-06/2023-02-12
2023-02-13,186.0,259.0,172.0,7483.0,244.0,7742.0,-72.0,0.6591337099811676,66.40926640926641,3.2607243084324473,-3306.0,-105.14285714285714,216.22937556480053,2.4512233018023006,2023-02,2023-02-13/2023-02-19
2023-02-14,154.0,225.0,220.0,7794.0,223.0,8019.0,-3.0,4.156087130829881,97.77777777777777,2.861175263022838,-3309.0,-79.85714285714286,212.4866382353776,2.5109599468414543,2023-02,2023-02-13/2023-02-19
2023-02-15,91.0,199.0,172.0,7869.0,290.0,8068.0,-118.0,0.962278675904542,86.4321608040201,3.6853475663997965,-3427.0,-75.57142857142857,209.02301080890547,2.565417583338061,2023-02,2023-02-13/2023-02-19
2023-02-16,81.0,213.0,153.0,7793.0,361.0,8006.0,-208.0,-0.9658152242978777,71.83098591549296,4.632362376491724,-3635.0,-77.85714285714286,197.98015773592957,2.626143048538307,2023-02,2023-02-13/2023-02-19
2023-02-17,0.0,213.0,0.0,7793.0,0.0,8006.0,0.0,0.0,0.0,0.0,-3635.0,-77.85714285714286,183.904607777797,2.626143048538307,2023-02,2023-02-13/2023-02-19
2023-02-18,0.0,213.0,0.0,7793.0,0.0,8006.0,0.0,0.0,0.0,0.0,-3635.0,-77.85714285714286,166.0268194054962,2.626143048538307,2023-02,2023-02-13/2023-02-19
